text,label
"HANOI (Reuters) - Vietnam s ruling party watchdog on Monday said it had uncovered misconduct by the top officials in a central city that will host world leaders for an Asia-Pacific summit in November, as the communist state steps up a campaign against corruption. The report of irregularities in Danang marked a widening of probes that have so far focused largely on banks and state energy firm PetroVietnam. Government critics say internal power struggles also fuel the graft crackdown. The party s inspection committee said Nguyen Xuan Anh, party chief of Danang and a member of the party s central committee, had not set a good example by receiving and using cars and houses provided by companies. Anh was also accused of dishonesty, incorrect declarations on qualification certificates, violating party standards and imposing personnel that damaged party solidarity, the committee said in a statement on the government s website. Reuters could not contact the Danang party offices outside office hours to seek comment on the accusations. The tourist city of Danang will host world leaders, including U.S. President Donald Trump, China s Xi Jinping and Russia s Vladimir Putin at the summit of Asia-Pacific Economic Cooperation (APEC) in November. The party watchdog did not make any link between its findings and the hosting of the summit, for which roads, meeting halls and a new airport terminal have been built. There has also been major private investment in new hotels. Punishment of senior officials ahead of major events is unusual in Vietnam and points to the tougher stand against corruption since the security establishment gained greater influence in the party last year. The committee also found Huynh Duc Tho, Danang city people s committee chairman, responsible for violations in land management and human resources, adding it had reached the point  where punishment is necessary . The people s committee in Danang could not be reached outside office hours to seek comment. The committee also recommended action against the chairman, former chairman and senior officials of state chemical group Vinachem over reports of mismanagement that caused losses. ",1
"(Reuters) - The New York State on Wednesday confirmed Governor Andrew Cuomo’s pick to become the state’s top financial regulator. The confirmation vote for Maria Vullo, Cuomo’s nominee for superintendent of the New York State Department of Financial Services (NYDFS), was unanimous. Cuomo, a Democrat, nominated Vullo in January. Her appointment is effective immediately.  Earlier on Wednesday, the New York Senate Finance Committee held a hearing on Vullo’s nomination and recommended that she be confirmed. Last week, the New York Senate’s banking and insurance committees also held separate hearings about Vullo.  Vullo, a lawyer who represented banks, described herself during recent state legislative committee meetings as “pro-business and pro-consumer.”  She has been running the NYDFS as its acting superintendent since February. Vullo will succeed former NYDFS Superintendent Benjamin Lawsky, who left the agency last year. Under Lawsky, NYDFS earned a reputation as an aggressive regulatory body that extracted hefty fines from global banks and other financial institutions. The regulator, created in 2011 by consolidating the state’s banking and insurance agencies, had been in flux since before Vullo’s arrival in March. ",1
"WASHINGTON (Reuters) - U.S. House Speaker Paul Ryan said on Tuesday he believes there is enough support in the House of Representatives to pass the Republican healthcare plan, which has been criticized by some conservative groups and members of Congress. “This is the beginning of the legislative process ... we’ll have 218 when this thing comes to the floor (of the House), I can guarantee you that,” Ryan said, referring to the 218 votes needed to pass legislation in the Republican-controlled House. ",1
"EVERGLADES CITY, Fla. (Reuters) - As Hurricane Irma raged through Everglades City, a tiny fishing village in a vast alligator-infested swamp, Howie Grimm hunkered down inside his house with his 88-year-old mother, a useless cell phone and a new job title. He had been acting mayor for less than a week. When the winds started to wane, he jumped in his truck and moved his mother to a higher perch   a trailer on stilts   because he knew a storm surge would follow the eye of the storm. He watched from the trailer as the surge swallowed his truck.  And that s how it all started, my   what do you call it?   mayorism?  he recalled with a laugh on Monday, as he leaned on a flooded forklift in front of his business, Grimm s Seafood. While most of South Florida was spared the worst of the dangerous storm, this remote hamlet of about 400 residents in the southwest part of the state, felt the full wrath of Irma s winds and waves. And yet residents here seemed to take it in stride, surveying the damage with a good humor and a shrug of the shoulders. Little help had arrived from the outside world the day after the storm, but no one here seemed to be asking for much help, either. In a town surrounded by marshlands, storms and floods are part of the deal.  The few residents that remained in this outpost for Irma s landfall on Sunday watched a surge up to eight feet high inundate roughly half of the homes and businesses - all the ones that were not up on stilts - and cake the town in gray swamp slime. Sammy Hamilton, 83, the city s mayor for 22 years until last week, lost two buildings housing tourism businesses, along with several vessels. One of his 55-foot tour boats ended up in a tree   an ornament of sorts.  That s how we decorate here for Christmas,  said Hamilton, who stepped down over his handling of the town s sewer plant, which had fallen out of compliance with state environmental regulations and faces a major overhaul.  The Florida Department of Environmental Protection sued the city in 2015, after inspectors caught the plant pumping sewage into nearby mangroves. Few residents expressed much anger with Hamilton over the sewer plant or his resignation days before a major flood.  I love the old mayor,  said Grimm, the acting mayor, who had criticized Hamilton s handling of the sewer debacle.  He s done a lot of good. He just decided he d had enough.  Everglades City is isolated geographically and culturally from the rest of South Florida by 1.5 million aces of preserved wetlands. Founded in the late 1800s, it later became the last stop on the Atlantic Coast Line Railroad. Its historic Rod and Gun Club, which has hosted a half dozen U.S. presidents, including Harry Truman when he dedicated the swampland surrounding the city as a national park in 1947. Today, the city s economy rests on three main commodities: stone crabs, alligators and airboats. The commercial catch of stone crabs once played a bigger role than tourism - which primarily involves scouting alligators on airboats - but that mix is changing, said Vicky Wells, a fifth-generation resident. Her brother was among those who happily made the switch from processing crabs to toting tourists around on airboats.  It was a lot more money for a lot easier work,  Wells said.   People here do whatever they need to do to feed their family.  And many do whatever is needed to protect their family from wind and water. Having weathered many storms, the Wells family built their home a decade ago to withstand a major hurricane. Vicky s husband, Bob Wells, 72, drove pilings 23 feet into the ground and used rebar to reinforce a concrete foundation every two feet. He encased the windows in concrete, too.  We built this thing to stay. It stayed,  Bob said.  Across the street from the Wells  home, Ricky Collins, a 68-year-old Everglades City native, washed muck from his driveway as his grandson pushed it out of his house with a broom. The flood didn t rattle him, and he didn t think it would change how his neighbors, even the newer arrivals, viewed living there.  The difference in this town now is that we have a lot of foreigners   I mean, people from out of state,  he said.  But they ll stay, too. They ll probably do better than we will, because they have better insurance and everything.  Among the newcomers is Marlene Sassaman, 69, who moved here four years ago. She stayed for the storm and spent the next day mopping the mud out of her first floor.  If you have a strong house, you re fine,  Sassaman said As for the departure of the old mayor, she said she preferred to steer clear of any controversy.  Let s just say he  retired.  I don t want to go there,  she said.  He was born and bred here, and his pappy was born and bred here   I really love this place, because it s one of the last small towns in the country.  ",1
"JOHANNESBURG (Reuters) - South Africa s main opposition party said on Sunday it had asked the High Court to force President Jacob Zuma to disclose how much the state has spent on legal fees to fight corruption allegations against him. Democratic Alliance (DA) Federal Council Chairperson James Selfe said in a statement the opposition party had asked the court to direct the President to write to parliament within five days confirming the total amount spent. The DA walked out of a parliamentary session addressed by Zuma on Nov. 2 in protest over the potential cost to the public purse of his legal fees. Zuma had failed to answer a question about how much had been spent since May 1, 2009 to defend 783 corruption charges against him that were dropped by the National Prosecuting Authority (NPA) before he ran for the presidency.   By avoiding the question, the DA believes that both the President, and the Deputy Speaker, Lechesa Tsenoli, presiding at the time who allowed President Zuma to avoid the question, acted unlawfully and unconstitutionally,  Selfe said.  Given that the taxpayer has most likely footed the bill for the President s legal costs, the full amount spent should be revealed, in the public interest.  South Africa s High Court reinstated the 783 charges last year and the Supreme Court upheld that decision in October, rejecting an appeal by Zuma. The 75-year-old president is still trying to prevent the NPA from filing the charges. ",1
"WASHINGTON/BEIJING (Reuters) - China’s plan to punish a U.S. automaker accused of price-fixing is a sign of how Beijing could retaliate if President-elect Donald Trump upends decades of relations between the two nations. Trump’s assertion that the United States need not be bound by the policy that Taiwan is part of “one China” would erode a bedrock of U.S.-China ties that has underpinned the vast increase in trade and cooperation between what are now the world’s two largest economies. Few expect the disagreement will lead to outright military confrontation, nor even the kind of economic war that many feared could be launched by Trump’s threat during the U.S. presidential campaign to slap tariffs of up to 45 percent on Chinese imports. However, a rising China has plenty of other ways to push back hard if Trump presses on the Taiwan question, which most analysts see as the most sensitive part of the U.S.-China relationship. In what might be a shot across the bow of the Trump administration, due to take office on Jan. 20, the official China Daily newspaper quoted a state planning official saying China will soon penalize an unnamed U.S. automaker for monopolistic behavior. While the official said no one should read “anything improper” into this, shares of General Motors Co and Ford Motor Co skidded. Auto industry sources have told Reuters this specific investigation was already underway before Trump’s recent comments. However, the manner in which it was announced, by saying only that it was a U.S. automaker before a formal announcement of fines, has raised questions around whether officials might be seizing on the case to send a shot across the bow of the incoming Trump administration. Jason Miller, a spokesman for Trump, said on Wednesday Trump’s team was aware of the report but it would be premature to comment. In Washington, a Democratic congressional aide said China’s threat to fine the automaker was a “good sharp reminder” to Trump that “they have cards to play too and that if he is thinking that he can enter into negotiations - be it on Taiwan, trade, North Korea, whatever - as if the United States is the sole global superpower ... then he is going to need to think again.” China’s state planner, the National Development and Reform Commission, did not responded to Reuters requests for comment on the China Daily story. China’s Foreign Ministry said it did not know any details about the case. “China welcomes foreign companies, including American ones, to invest in and operate in China. At the same time they must respect China’s laws and rules. This point is very clear,” ministry spokesman Geng Shuang said when asked if this was China sending a message to Trump.  Pressure on other U.S. companies, such as Boeing Co (BA.N) and General Electric Co (GE.N), with large interests in China could be one of the most tangible tools of retaliation, together with new limits on access to the country’s huge markets. U.S. business interests in China are estimated at more than $500 billion. Wider economic steps - such as China, America’s biggest creditor, selling a significant part of its $1.16 trillion of U.S. Treasuries, or weakening its currency - seem unlikely, the first because it would slash the value of China’s U.S. bond portfolio and the second because it could accelerate capital flight, experts said. Beijing could speed up a military build-up that had begun to slow along with Chinese economic growth, carry out naval exercises close to Taiwan - which it regards as a renegade province - and withhold diplomatic cooperation on issues such as Iran and North Korea’s nuclear programs. “Taiwan policy is what China considers a core interest ... and it’s prepared to go to great lengths to defend it,” said Eric Altbach, senior vice president at the Albright Stonebridge Group consultancy in Washington and a former deputy assistant U.S. trade representative for China affairs. The consensus within the Obama administration is that Trump, who irked China by taking a phone call from Taiwan’s president, was not fully aware of the potential backlash from Beijing over his questioning of the “one China” policy, a U.S. official said, speaking on condition of anonymity. The hope is that by the time Trump takes over from President Barack Obama, he will recognize that China has advanced so far economically, diplomatically and militarily that it is unwise to pick fights with Beijing over such a bedrock principle, he added. A former senior U.S. official took a more pessimistic view. “Trump has basically guaranteed that the first year in the China relationship will be a combative, competitive one, and the question is how bad it will get,” he said. “The Chinese now are basically putting together their list on how to retaliate.” There are at least three ways in which the matter could play out, U.S. China experts said. Trump could backtrack over time, much as former U.S. President George W. Bush did. A second track would be if Trump goes on questioning the “one China” policy without taking concrete action. The third,  considered unlikely by U.S. officials past and present, would be a drift toward military confrontation. Asked if Trump’s “one China” stance could lead to this, a source with ties to the Chinese leadership told Reuters: “We will see what Trump says and does after he becomes president.” A second source with leadership ties said they expected tensions with the United States over Taiwan. But the source said Chinese President Xi Jinping, who has sounded a more nationalistic line than his recent predecessors, could also use the issue to further cement his grip on power. “If (Taiwan) is emboldened by the U.S. support and does something drastic, it could be an opportunity for us. There will be just cause to dispatch troops,” the second source said. While the possibility of Taiwan declaring independence and hence triggering a Chinese invasion seems low, the mere softening in the U.S. commitment to the policy would likely play out in China’s defense posture. “It will alter Chinese defense priorities. I think that’s inevitable now,” said Dennis Wilder, a former CIA China analyst. He said Xi may increase Chinese military spending for 2017 and place new emphasis, over time, on gaining the amphibious capabilities necessary to actually invade Taiwan. “Xi Jinping has to respond to this internally, domestically, and while he doesn’t want an open fight with Trump, he will have to show ... resolve,” he said, citing higher military spending, more defense exercises and tougher rhetoric on Taiwan. “We can anticipate that unless this issue is taken off the table.” ",1
WASHINGTON (Reuters) - The White House said on Monday that President Donald Trump wasn’t making a racial slur when he referred to Senator Elizabeth Warren as “Pocahantas” while speaking with Navajo military veterans who served as code-talkers in World War Two. White House spokeswoman Sarah Sanders said Trump had an “extreme amount of value and respect” for the World War Two veterans and “I think what most people find offensive is Senator Warren lying about her heritage to advance her career.” ,1
"ESTCOURT, South Africa (Reuters) - Police fired rubber bullets and stun grenades to break up crowds hurling insults at a group of men accused of cannibalism in a South African farming town. More than 500 people gathered outside the magistrates court in eastern Kwa-Zulu Natal province on Thursday as the men sat inside, hiding their faces with their hooded tops and their hands. Authorities originally charged seven men after police said one of them had walked into a police station in August with a human leg and a hand. Police spokeswoman Col. Thembeka Mbele told Reuters on Thursday he had confessed that he was tired of eating human flesh. The court acquitted three of the men on Thursday on charges of murder and conspiracy to commit murder, saying there was a lack of evidence. The other four were held in custody and the case adjourned until Oct. 27.  We have not charged them with cannibalism, as no such charge exists as far as I know,  Mbele said.  No one has seen them eating any of the human parts they had in their possession but we are still investigating,  she added. Officers were also investigating the suspects for the offence of possessing human remains, Mbele said.  Police blocked streets outside the court in the town of Estcourt, about 160 km (100 miles) north of Durban, Kwa-Zulu Natal s biggest city.  They fired the teargas and grenades to keep the crowds at bay as security officers drove all seven men back to jail - the three acquitted man were released later.  Members of the crowd shouted back at officers.  Where were you when they were eating people?  said one.  Some protesters told local media they feared missing loved ones may have been eaten. Others have linked the deaths with witchcraft, referring to traditional medicines that can be made from a range of ingredients including animal or human body parts. ",1
"OSLO (Reuters) - Norway s Christian Democratic party withdrew from coalition talks with the government on Wednesday, ending Conservative Prime Minister Erna Solberg s hopes of broadening her minority right-wing cabinet into a center-right majority one. The move may make it more difficult for Solberg to secure backing for her fiscal spending plans and policy proposals, and could even jeopardize her cabinet s long-term survival. Solberg has ruled in a minority government since 2013 with the populist Progress Party. She had hoped to bring the two parties  other backers in parliament, the Christian Democrats and the Liberals, into her cabinet after the four parties combined won a renewed but smaller majority on Sept. 11. While Solberg had needed the support of just one of the two centrist parties previously to push through her policies, she now needs the backing of both in addition to that of her own Conservatives and the Progress Party. But the Christian Democrats, wary of supporting further tax cuts and the government s tough line on immigration, said it would stay out of government even though it preferred Solberg as prime minister over Labour leader Jonas Gahr Stoere. Solberg had previously rejected a proposal from the Liberals and the Christian Democrats to remove Progress from the government in favor of the centrists.  Our alternative for a government did not succeed, but we still wish for good, constructive cooperation,  party leader Knut Arild Hareide of the Christian Democrats told reporters after meeting the three other parties on Wednesday. The Liberals will continue to negotiate with the government, but their potential inclusion in the cabinet would not be sufficient to ensure a majority. The government is due to present its 2018 fiscal spending proposal on Oct. 12 and must negotiate a compromise in parliament by late November or early December. ",1
"YAUCO, Puerto Rico (Reuters) - Hurricane Maria battered this quiet Puerto Rican outpost and covered it with mud, but it couldn t separate Sandra Harasimowicz from her beloved pets. She and her husband Gary Rosario said they clung to the side of a house for hours last week to save their seven dogs from a hurricane that reduced their picturesque neighborhood in Puerto Rico to a desolate mud pit. Harasimowicz, 43, a native of Poland said the couple were trapped neck-deep in water after Hurricane Maria tore into their home in the southwestern town of Yauco last Wednesday, sending them and their dogs scrambling onto a neighbor s roof to escape. The storm, which has killed at least 10 people across the U.S. territory, turned the couple s street into bed of debris-strewn silt after a nearby river burst its banks. The surging flow entered their house  like it was the end of the world,  Harasimowicz told Reuters on Monday. Trying to keep the animals close in the hurricane while holding tight to solar panels on the neighbor s roof, Harasimowicz said she watched aghast as one of the dogs jumped four times into the raging torrent that had swamped the street. Each time Rosario, who is Puerto Rican and a national guardsman, leapt in after the errant dog to haul it back to safety.  I thought I was going to lose him; he just did it because he s such an animal lover,  said Harasimowicz, whose family lives in the city of Poznan in western Poland.  I said:  That s it, I m losing the animals and I m losing my husband.  The mother of two explained how the couple had earlier stashed their eight cats on top of the kitchen cupboards to ride out the storm when the floodwaters started rising to their chins. The couple had already sent their children, aged 6 and 12, to stay with a friend nearby before Maria struck. But after failing to find a refuge for the cats and dogs, Harasimowicz said they felt they should remain there with the animals, in part because they did not believe the storm would be so severe.  Basically, we underestimated,  Harasimowicz said. Maria knocked out power and telecommunications across the island of 3.4 million, unleashing chaos and disorder that residents believe will take months from which to recover. Residents of the Yauco estate known as Urbanizacion Luchetti returned to find furniture, refrigerators and washing machines had moved around their homes in the mud bath. Floors were caked in a musty-smelling brown sludge. Furnishings were ruined.  Everyone says they want to leave here,  said neighbor Jose Velazquez, 57, reviewing the mess Maria had made of his home. At the end of the street, the rotting body of a pit bull lay on its side by a house railing, maggots teeming at its neck. Harasimowicz and Rosario returned home Wednesday night when the flooding began to recede, spending the night on top of a bunk bed with their pets. But they were horrified as the waters began rising again. Believing they had no choice in order to survive, the couple broke into a neighbor s house with a hammer so they could occupy its rooftop annex with their pets. By then, they had acquired another dog that had wandered up seeking shelter from the storm.  It was either break in or die,  said Rosario, a jovial 49-year-old who on Monday was taking stock of his ruined home and the family s gaggle of pets, all of which survived. The couple have bathed and washed their clothes in rainwater collecting on the roof, and are now planning their next move. After 12 years in Puerto Rico - seven of them in Yauco - Harasimowicz said she has had enough.  Never again,  she said.  This is over for me.  ",1
